Character,Frequency,Radical_position,Radical,Strokes
灸,4024,火 86.3,火,7
腆,4025,肉 130.8,肉,12
筱,4026,竹 118.7,竹,13
谆,4027,言 149.8,言,10
骋,4028,馬 187.7,馬,10
壬,4029,士 33.1,士,4
茗,4030,艸 140.6,艸,9
椋,4031,木 75.8,木,12
蛔,4032,虫 142.6,虫,12
潺,4033,水 85.12,水,15
扉,4034,戶 63.8,戶,12
耘,4035,耒 127.4,耒,10
槟,4036,木 75.10,木,14
雹,4037,雨 173.5,雨,13
甬,4038,用 101.2,用,7
谥,4039,言 149.10,言,12
淞,4040,水 85.8,水,11
燎,4041,火 86.12,火,16
蕙,4042,艸 140.12,艸,15
蚪,4043,虫 142.4,虫,10
蜻,4044,虫 142.8,虫,14
郸,4045,邑 163.8,邑,10
轶,4046,車 159.5,車,9
狰,4047,犬 94.6,犬,9
楣,4048,木 75.9,木,13
捋,4049,手 64.7,手,10
涓,4050,水 85.7,水,10
荪,4051,艸 140.6,艸,9
娄,4052,女 38.6,女,9
麝,4053,鹿 198.10,鹿,21
蚤,4054,虫 142.4,虫,9
薰,4055,艸 140.14,艸,17
醮,4056,酉 164.12,酉,19
搪,4057,手 64.10,手,13
谧,4058,言 149.10,言,12
湮,4059,水 85.9,水,12
辍,4060,車 159.8,車,12
瞌,4061,目 109.10,目,15
梆,4062,木 75.7,木,10
樟,4063,木 75.11,木,15
茉,4064,艸 140.5,艸,8
岖,4065,山 46.4,山,7
臼,4066,臼 134.0,臼,6
癣,4067,疒 104.14,疒,19
穑,4068,禾 115.11,禾,16
玷,4069,玉 96.5,玉,9
馍,4070,食 184.10,食,13
呷,4071,口 30.5,口,8
萼,4072,艸 140.9,艸,12
妩,4073,女 38.4,女,7
伫,4074,人 9.4,人,6
彤,4075,彡 59.4,彡,7
莓,4076,艸 140.7,艸,10
岬,4077,山 46.5,山,8
媛,4078,女 38.9,女,12
惆,4079,心 61.8,心,11
鳎,4080,魚 195.10,魚,18
啾,4081,口 30.9,口,12
囔,4082,口 30.22,口,25
蜓,4083,虫 142.7,虫,12
孺,4084,子 39.14,子,17
徇,4085,彳 60.6,彳,9
徵,4086,彳 60.12,彳,15
焊,4087,火 86.7,火,11
岱,4088,山 46.5,山,8
昵,4089,日 72.5,日,9
卅,4090,十 24.2,十,4
飙,4091,風 182.12,風,16
邙,4092,邑 163.3,邑,5
痞,4093,疒 104.7,疒,12
隼,4094,隹 172.2,隹,10
恫,4095,心 61.6,心,9
怆,4096,心 61.4,心,7
桀,4097,木 75.6,木,10
绶,4098,糸 120.8,糸,11
裆,4099,衣 145.6,衣,11
盂,4100,皿 108.3,皿,8
桧,4101,木 75.6,木,10
蚓,4102,虫 142.4,虫,10
抠,4103,手 64.4,手,7
嗷,4104,口 30.11,口,13
槌,4105,木 75.10,木,13
痘,4106,疒 104.7,疒,12
痢,4107,疒 104.7,疒,12
芮,4108,艸 140.4,艸,7
蚣,4109,虫 142.4,虫,10
闩,4110,門 169.1,門,4
铿,4111,金 167.7,金,12
飓,4112,風 182.8,風,12
疱,4113,疒 104.5,疒,10
蝌,4114,虫 142.9,虫,15
撅,4115,手 64.12,手,15
蚯,4116,虫 142.5,虫,11
斡,4117,斗 68.10,斗,14
窠,4118,穴 116.8,穴,13
荚,4119,艸 140.6,艸,9
耷,4120,耳 128.3,耳,9
砚,4121,石 112.4,石,9
牒,4122,片 91.9,片,13
赈,4123,貝 154.7,貝,11
煦,4124,火 86.9,火,13
嗫,4125,口 30.10,口,13
耙,4126,耒 127.4,耒,10
榕,4127,木 75.10,木,14
鞑,4128,革 177.6,革,15
袤,4129,衣 145.5,衣,11
谌,4130,言 149.9,言,11
醺,4131,酉 164.14,酉,21
秆,4132,禾 115.3,禾,8
徨,4133,彳 60.9,彳,12
橹,4134,木 75.12,木,16
翡,4135,羽 124.8,羽,14
缨,4136,糸 120.11,糸,14
锹,4137,金 167.9,金,14
嵇,4138,山 46.9,山,12
圪,4139,土 32.3,土,6
髻,4140,髟 190.6,髟,16
嗬,4141,口 30.10,口,13
辎,4142,車 159.8,車,12
痣,4143,疒 104.7,疒,12
娩,4144,女 38.7,女,10
谄,4145,言 149.8,言,10
蛐,4146,虫 142.6,虫,12
鹞,4147,鳥 196.10,鳥,15
翱,4148,羽 124.10,羽,16
庖,4149,广 53.5,广,8
籁,4150,竹 118.13,竹,19
蓿,4151,艸 140.11,艸,14
鳗,4152,魚 195.11,魚,19
疟,4153,疒 104.3,疒,8
鲇,4154,魚 195.5,魚,13
這,4155,辵 162.7,辵,10
嚅,4156,口 30.14,口,17
瘀,4157,疒 104.8,疒,13
颔,4158,頁 181.7,頁,13
黜,4159,黑 203.5,黑,17
黠,4160,黑 203.6,黑,18
濑,4161,水 85.13,水,16
馁,4162,食 184.7,食,10
洵,4163,水 85.6,水,9
忐,4164,心 61.3,心,7
忑,4165,心 61.3,心,7
砥,4166,石 112.5,石,10
咂,4167,口 30.5,口,8
罹,4168,网 122.11,网,16
糠,4169,米 119.11,米,17
匝,4170,匚 22.3,匚,5
偃,4171,人 9.9,人,11
淙,4172,水 85.8,水,11
纫,4173,糸 120.3,糸,6
喏,4174,口 30.9,口,11
闾,4175,門 169.6,門,9
祛,4176,示 113.5,示,9
蛰,4177,虫 142.6,虫,12
腼,4178,肉 130.9,肉,13
涝,4179,水 85.7,水,10
曜,4180,日 72.14,日,18
厩,4181,厂 27.9,厂,11
疽,4182,疒 104.5,疒,10
闰,4183,門 169.4,門,7
洄,4184,水 85.6,水,9
煊,4185,火 86.9,火,13
汐,4186,水 85.3,水,6
藓,4187,艸 140.14,艸,17
璜,4188,玉 96.12,玉,15
铬,4189,金 167.6,金,11
經,4190,糸 120.7,糸,13
渥,4191,水 85.9,水,12
靼,4192,革 177.5,革,14
酗,4193,酉 164.4,酉,11
苓,4194,艸 140.5,艸,8
噤,4195,口 30.13,口,16
咫,4196,口 30.6,口,9
椿,4197,木 75.9,木,13
鲫,4198,魚 195.7,魚,15
锭,4199,金 167.8,金,13
罔,4200,网 122.3,网,8
锺,4201,金 167.9,金,14
匍,4202,勹 20.7,勹,9
祗,4203,示 113.5,示,9
锰,4204,金 167.8,金,13
岌,4205,山 46.4,山,6
馀,4206,食 184.7,食,10
畹,4207,田 102.8,田,13
糯,4208,米 119.14,米,20
胫,4209,肉 130.5,肉,9
熠,4210,火 86.11,火,15
銮,4211,金 167.6,金,14
沅,4212,水 85.4,水,7
棣,4213,木 75.8,木,12
旌,4214,方 70.7,方,11
豌,4215,豆 151.8,豆,15
孢,4216,子 39.5,子,8
镭,4217,金 167.13,金,18
驸,4218,馬 187.5,馬,8
腌,4219,肉 130.8,肉,12
